relation_id,subject,relation,object,doc_id,chunk_id,evidence,confidence
REL-eff41771a32553517995,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0039,"Missouri Ozark Forest Ecosystem Project Initiated in 1991, The Missouri Ozark Forest Proj - ect (MOFEP) is one of the most comprehensive eco - logical investigations of forest response undertaken in upland oak ecosystems.",0.98
REL-3c5b06fa0c96a154f165,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0040,"Missouri Invasive Forest Pest Plan, developed by MIFPC, presents a framework for consistent, coordi - nated responses to invasive forest insects and diseases.",0.98
REL-313a3b9d5ea4971ff3ef,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0041,"Missouri consisted of narrow ridgetop prairies that graded into woodlands, forested slopes, and valleys.",0.98
REL-47eee6fbc01dd412088d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0042,"Missouri, 50 miles southwest of St.",0.98
REL-189a6102c1ecc5ecdd80,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0043,"Missouri, 50 miles southwest of St.",0.98
REL-3c83338f7dfb18497c34,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0044,"Missouri Depart - ment of Conservation, Missouri Department of Natural Resources, Ozark Regional Land Trust, Missouri Botanical Garden, and many others.",0.98
REL-e72e92de247fd3db4e83,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0045,"Missouri Ozarks, but extensive logging during the late 1800s and early 1900s devastated those vast communities.",0.98
REL-10e133d19b6c9edab566,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0046,Missouri.,0.98
REL-ad52e3bd99544a86c96d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0047,"Missouri, the most abundant glade habitat is found in the Ozark Highlands ecoregion of the state; howev- er, a handful of glades are located in both the Osage Plains and Central Dissected Till Plains ecoregions.",0.98
REL-a4a220cfa76b060007d9,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0048,Missouri bladderpod (Physaria filiformis) ✦ Bush’s skullcap (Scutellaria bushii) ✦ Gattinger’s goldenrod (Solidago gattingeri) Arachnids Characteristic: Missouri tarantula (Aphonopelma hentzi) ✦ Striped bark scorpion (Centruroid,0.98
REL-82d6b3729b2d3673cbb1,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0049,"Fish and Wildlife Service, the Forest and Woodland Association of Missouri, and ten Soil and Water Conservation Districts in southeast Mis- souri.",0.98
REL-9285038437e3a77e611e,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0050,Missouri Master Naturalist Chert Glades Chapter is currently constructing a glade learning station for the Center.,0.98
REL-3620f441e4b2bdab7cbb,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0051,"Missouri, occurring in dissected hills on slopes that are typically south- or west-facing and quite steep.",0.98
REL-b79b36845475d93b4eae,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0052,"Missouri state-endangered geocarpon (Geocarpon mini - mum), a species of greatest conservation need, and also is a federally threatened species.",0.98
REL-f85656727d0b0787c008,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0053,Missouri.,0.98
REL-1b22f4b2bf97dfe1a83c,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0054,"Missouri, including the grotto sculpin and Tumbling Creek cave snail.",0.98
REL-553abea05e68bf017776,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0055,Missouri glyphopsyche caddisfly (Glyphopsyche missouri) ✦ Hoff’s Cave springtail (Oncopodura hoffi) ✦ Espana Cave springtail (Pseudosinella espana) ✦ Avita Cave springtail (Sinella avita) ✦ Barr’s Cave springtail (Sinella barri),0.98
REL-b6f28995d9ee309e68db,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0056,Missouri.,0.98
REL-61274fd614d062bb2980,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0057,"Missouri with up to 60,000 hibernating.",0.98
REL-655e60ecb09810ea350d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0058,"Missouri Speleological Society, Ozark Regional Land Trust, The Nature Conservancy, the U.S.",0.98
REL-59252caf8821a54fb030,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0059,Missouri’s Cave Life.,0.98
REL-114cc4c5b381567621fe,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0060,Missouri’s lost wetlands and improving the functioning of those that remain.,0.98
REL-8ae8d756b44f4ed6aa27,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0061,Missouri’s landscape have led to extensive loss and degradation,0.98
REL-80bc516f02645b007638,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0062,Missouri’s landscape have led to extensive loss and degradation of Missouri wetlands.,0.98
REL-55dc8ac4f10a4cfb82b8,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0063,Missouri by establishing an interdis- ciplinary statewide task force with participation from agencies and partners directly involved with stream-floodplain-watershed management.,0.98
REL-4987c770a0181b9bdda2,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0064,"Missouri De- partment of Conservation, U.S.",0.98
REL-a85119a7b48a6e42ed1d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0065,Missouri.,0.98
REL-a3e79843d0ec18f48688,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0066,"Missouri Botanical Garden, Missouri Department of Conservation, Missouri Department of Nat- ural Resources, Natural Resources Conservation Service, The Nature Conservancy, the U.S.",0.98
REL-a8cc146c30529c8afaf0,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0067,Missouri’s river and stream networks used to identify the chosen Conservation Opportunity Areas.,0.98
REL-8adca46e1093db0b982d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0069,"Missouri include zebra mussels (Dreissena polymor - pha), quagga mussels ( Dreissena bugensis), Asian carp (i.e., bighead (Hypophthalmichthys nobilis)) and silver carp (Hypophthalmichthys molitrix ), hydrilla (Hydrilla verticill",0.98
REL-541803b11668f44d6aab,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0070,"Missouri’s rivers, streams, and reservoirs, and the degree of difficulty to make observations of distribution within a body of water, once an aquatic invasive species is introduced, it is extremely difficult to manage, let alone",0.98
REL-35f14d69833b52a55faa,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0071,"Missouri Prairie Foundation, National Wild Turkey Federation, Natural Resources Conservation Service, Pheasants For- ever, Soil and Water Conservation Districts, and Truman State Uni- versity.",0.98
REL-41aadd933189f70a22e4,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0072,Missouri were once covered in cypress swamps.,0.98
REL-019325d3a40e1af5123d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0075,"Missouri bladderpod T, SE S3 X Glade - Plant Rhynchospora harveyi Harvey’s beak rush - S1 - Glade Grassland/Prairie Page 8 Taxa Scientific Name Common Name Federal Status* State RankW Charac- teristic Species Primary Habitat Sec",0.98
REL-c732237954b5239b9f35,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0076,"Missouri bladderpod T, SE S3 X Glade - Plant Rhynchospora harveyi Harvey’s beak rush - S1 - Glade Grassland/Prairie Page 8 Taxa Scientific Name Common Name Federal Status* State RankW Charac- teristic Species Primary Habitat Sec",0.98
REL-abc6d4be7156e733361c,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0078,Missouri cave snail - S2 - Caves/Karst - Mollusks Fontigens proserpina Proserpine cave snail - S1 - Caves/Karst - Mollusks Vertigo oscariana Capital vertigo - S1 - Forest - Page 17 Taxa Scientific Name Common Name Federal Status,0.98
REL-fb5ff66e1417da156ad1,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0079,Missouri tarantula - - X Glade - Arachnids Centruroides vittatus Striped bark scorpion - - X Glade - Crustaceans Bactrurus hubrichti Sword-tail cave amphipod - S1 - Caves/Karst - Crustaceans Bactrurus pseudodomucronatus False sw,0.98
REL-3a4786013e8b599af205,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0080,missouri Missouri glyphopsyche caddisfly - S1 - Caves/Karst (Springs) - Insects Lytrosis permagnaria Geometrid moth - SU - Forest (Bottomland Forest) - Insects Amblytropidia mysteca A Glade grasshopper - - X Glade - Insects Lasi,0.98
REL-4f1c535a19f7c4ffe24c,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0085,Missouri Chapter United States Forest Service Northern Research Station Animal and Plant Health Inspection Service University of Central Missouri Biology Department Audubon Society of Missouri University of Missouri Center for A,0.98
REL-f3b393c6a7d220b5a758,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0086,"Missouri are defined as distinct assemblages of native plants, animals and microorganisms that occur in repeatable patterns across the landscape and through time.",0.98
REL-0434c5f0c93fe8bd4482,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0087,Missouri Black-Eyed Susan 5 Schizachyrium scoparium Little Bluestem 4 Scutellaria parvula Small Skullcap 4 Silphium integrifolium Rosinweed 5 Silphium terebinthinaceum Prairie Dock 5 Sisyrinchium campestre Prairie Blue-Eyed Gras,0.98
REL-2583ec657b22e6b03b9d,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0088,Missouri Black-Eyed Susan 5 Schizachyrium scoparium Little Bluestem 4 Scutellaria parvula Small Skullcap 4 Silphium integrifolium Rosinweed 5 Silphium terebinthinaceum Prairie Dock 5 Sisyrinchium campestre Prairie Blue-Eyed Gras,0.98
REL-e8733d589d931b791b04,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0090,Missouri Goldenrod 5 Solidago rigida Stiff Goldenrod 5 Sorghastrum nutans Indian Grass Page 18 Coefficicent1 Scientific Name Common Name 6 Sporobolus heterolepis Prairie Dropseed 5 Symphotrichum ericoides Heath Aster 6 Symphyotr,0.98
REL-2e54cacb1dd7c7fe45ba,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0022,"Missouri River Bird Observatory (MRBO) for outreach and contin - ued effectiveness monitoring of grassland-dependent bird species, and observing species response to on - going grassland management.",0.98
REL-fab99639666bc970c57a,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0030,Missouri River from the Iowa state line to south of St.,0.98
REL-6990c9836811fe35f550,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0031,Missouri River.,0.98
REL-f3c50922bf5f6bda1f95,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0040,Missouri River Hills is another priority geography that holds the largest contiguous tract of forests and woodlands in Missouri north of the Mis - souri River.,0.98
REL-7214085bdb3747d2eb39,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0051,Missouri River Hills Priority Geography.,0.98
REL-11e5b1f0a4b7f1fc64b5,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0066,"Missouri River dissects the state into north and south, and the Mississippi River runs along the state’s eastern border.",0.98
REL-a83c507b936825060421,DOC001,document_mentions_location,Missouri River,DOC001,DOC001-C0072,"Missouri River, in Missouri, was once a turbid, braided, and unruly river.",0.98
REL-e8e9e1a11a6778eb8348,DOC001,document_mentions_location,North America,DOC001,DOC001-C0027,North America be- tween five to seven million years due to a long drying trend in our climate.,0.98
REL-7d790026ae20aba858fc,DOC001,document_mentions_location,North America,DOC001,DOC001-C0066,"North America, and management work here directly benefits the federal and state endangered Hine’s emerald dragonfly.",0.98
REL-0198f67bc751f04ba530,DOC001,document_mentions_location,United States,DOC001,DOC001-C0010,U.S. Forest Service ad- opted a similar approach for supporting management of national forests with the creation of the Forest Action Plans.,0.98
REL-70b47fd8b086e4c7094f,DOC001,document_mentions_location,United States,DOC001,DOC001-C0018,"U.S. Forest Service, North- ern Research Station began a project to incorporate climate change considerations into forest management for the Central Hardwoods Region, which includes the unglaciated forest regions of southern",0.98
REL-f5c0cf68cb9a7db98648,DOC001,document_mentions_location,United States,DOC001,DOC001-C0021,U.S. Forest Service as a formal revision of the Missouri Forest Action Plan.,0.98
REL-57308770dd54d9582fd9,DOC001,document_mentions_location,United States,DOC001,DOC001-C0031,U.S. Fish and Wildlife Ser- vice.,0.98
REL-2c40206ae3a617b9da39,DOC001,document_mentions_location,United States,DOC001,DOC001-C0032,U.S. Fish and Wildlife Ser - vice.,0.98
REL-7e3050ef7135188d0b1f,DOC001,document_mentions_location,United States,DOC001,DOC001-C0034,U.S. Fish & Wildlife Service.,0.98
REL-a712a28e5d8e375135ce,DOC001,document_mentions_location,United States,DOC001,DOC001-C0039,U.S. Forest Service.,0.98
REL-2e1154c2b4fa5b31e104,DOC001,document_mentions_location,United States,DOC001,DOC001-C0040,"U.S. Forest Service, Mark Twain National Forest; Missouri Department of Conservation; the Missouri Department of Natural Resources, the University of Missouri Extension; Natural Resources Conservation Service; and State and",0.98
REL-97462d4290144b878f3f,DOC001,document_mentions_location,United States,DOC001,DOC001-C0041,U.S. Forest Services’ Northern Research Station has a long-term study titled “Composition and Structure of Old- growth Hardwood Forests in the Midwest” that shows an increase in ironwood and decrease in desirable oak species,0.98
REL-3aef40e6e5bf5aea75f6,DOC001,document_mentions_location,United States,DOC001,DOC001-C0043,"U.S. Forest Service, and the U.S.",0.98
REL-27f448a3978f83524d07,DOC001,document_mentions_location,United States,DOC001,DOC001-C0046,"U.S. Forest Service, and U.S.",0.98
REL-dfc6e8ed2db733437731,DOC001,document_mentions_location,United States,DOC001,DOC001-C0065,U.S. Fish & Wildlife Service (Mingo National Wildlife Refuge managers).,0.98
REL-2675f3471f9b6f404dea,DOC001,document_mentions_location,United States,DOC001,DOC001-C0069,"United States alone, these inva- sive species amount to hundreds of billions of dollars per year to manage.",0.98
REL-5ffc868d94c9894c00b7,DOC001,document_mentions_location,United States,DOC001,DOC001-C0085,United States Forest Service Northern Research Station Animal and Plant Health Inspection Service University of Central Missouri Biology Department Audubon Society of Missouri University of Missouri Center for Agroforestry Central Ha,0.98
REL-6e428d59b586033e2fe4,DOC002,document_mentions_location,Mississippi River,DOC002,DOC002-C0005,"Mississippi River Basin Healthy Watershed Initiative (MRBI) and the National Water Quality Initiative (NWQI) coordination effort with other federal and state agencies, Soil and Water Conservation Districts, and X local citizens to priori",0.98
REL-3c5979b0641d1ad006fc,DOC002,document_mentions_location,Mississippi River,DOC002,DOC002-C0006,"Mississippi River Basin Healthy Watershed Initiative (MRBI) and the National Water Quality Initiative (NWQI) coordination effort with other federal and state agencies, Soil and Water Conservation Districts, and X local citizens to priori",0.98
REL-a8e638d7226f9e6a11f5,DOC002,document_mentions_location,Mississippi River,DOC002,DOC002-C0007,"Mississippi River Restoration Program, Navigation and Ecosystem Sustainability Program, Lower Missouri River Flood Risk and Resiliency Study) to promote wetland enhancement, rehabilitation, and restoration.",0.98
REL-a1d81e7112655b0980af,DOC002,document_mentions_location,Mississippi River,DOC002,DOC002-C0008,"Mississippi River Restoration Program, Navigation and Ecosystem Sustainability Program, Lower Missouri River Flood Risk and Resiliency Study) to promote wetland enhancement, rehabilitation, and restoration.",0.98
REL-95761d0daba7ee57020c,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0001,Missouri Wetland Program Plan 2023 – 2028 Marsh Wetlands along the Missouri River Source: USGS Prepared by: Missouri Department of Natural Resources P.O.,0.98
REL-69d326e22bf215fecc60,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0002,Missouri – Columbia Chris Hamilton Natural Resources Conservation Service Erin Holmes U.S.,0.98
REL-8f1ec9d413f02e239410,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0003,"Missouri, which is a current information gap.",0.98
REL-5e9c5e25ca311c8f95ce,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0004,"Missouri’s Wetlands while avoiding, minimizing and mitigating for impacts.",0.98
REL-d19a0b8683c732fa0aee,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0005,Missouri Stream Teams United (MSTU) in implementing streambank stabilization and wetland restoration at the confluence of Hickory and Shoal Creeks (https://shoalcreekwatershed.org).,0.98
REL-32df7075df82597ed379,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0006,Missouri; these are a combination of ACEP–WRE and Emergency Watershed Protection Program – Floodplain Easement Option (EWPP–FPE) easements.,0.98
REL-204fb4b65c96876ce29a,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0007,Missouri; these are a combination of ACEP–WRE and Emergency Watershed Protection Program – Floodplain Easement Option (EWPP–FPE) easements.,0.98
REL-0ad03613419db9827209,DOC002,document_mentions_location,Missouri,DOC002,DOC002-C0008,"Missouri and Mississippi rivers (Upper Mississippi River Restoration Program, Navigation and Ecosystem Sustainability Program, Lower Missouri River Flood Risk and Resiliency Study) to promote wetland enhancement, rehabilitation,",0.98
REL-7d2ddc54b30e779ed63e,DOC002,document_mentions_location,Missouri River,DOC002,DOC002-C0001,Missouri River Source: USGS Prepared by: Missouri Department of Natural Resources P.O.,0.98
REL-9d8ecb9978d2545de4af,DOC002,document_mentions_location,Missouri River,DOC002,DOC002-C0007,"Missouri River Flood Risk and Resiliency Study) to promote wetland enhancement, rehabilitation, and restoration.",0.98
REL-7f9580d756e30b14d6fe,DOC002,document_mentions_location,Missouri River,DOC002,DOC002-C0008,"Missouri River Flood Risk and Resiliency Study) to promote wetland enhancement, rehabilitation, and restoration.",0.98
REL-b7537e4cc1dcf42ed53a,DOC002,document_mentions_location,United States,DOC002,DOC002-C0002,Geological Survey Mike Shannon Ducks Unlimited (Missouri) Tom Jacobs Mid-America Regional Council Kyle Steele U.S. Forest Service Rob Hunt The Nature Conservancy Matthew Sailor U.S.,0.98
REL-2be2efee72ce33a7b1e3,DOC002,document_mentions_location,United States,DOC002,DOC002-C0003,"United States Geological Survey 3D Hydrography Program (USGS 3DHP) and be tied into the National Map of geospatial datasets used for flood modeling, natural resource planning, and risk assessment.",0.98
REL-20e7839e6267fd318be0,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0001,"Canada NAWMP Implementation Office Wildlife Conservation Branch Canadian Wildlife Service Environment Canada Place Vincent Massey, 3rd Floor 351 St.",0.98
REL-d336608268cce98551d4,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0003,Canada Geese .,0.98
REL-23253d68be1726034db2,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0004,Canada .,0.98
REL-4a17defeff8e7957b0a2,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0005,"Canada and the United States in 1986, laid out A Strategy for Cooperation in the conservation of waterfowl.",0.98
REL-3642e3a1944f38bcbc9a,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0006,"Canada, the United States, and Mexico to the levels recorded during the 1970s—a benchmark decade for waterfowl.",0.98
REL-b2ae43ec97007dbc5b26,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0007,"Canada, the United States, and Mexico.",0.98
REL-c9cc7819abd99767c3d8,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0008,"Canada and the United States signed a treaty for the conservation of migratory birds, and in 1936 the United States and Mexico signed a similar convention.",0.98
REL-71d4b7b2d56c036690ea,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0009,Canada Changes in the international context—global and continental— will continue to present challenges to Plan partners in managing landscapes important to waterfowl and other migratory birds and wildlife.,0.98
REL-888e67b6bfd3b850d7f2,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0010,Canada; and natural resources programs such as the System of Units for Conservation Management and Sustainable Use of Wildlife and the Natural Protected Areas System in Mexico.,0.98
REL-4f7c5b311a93d3155e36,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0011,Canada Enhance planning and evaluation by expanding monitoring and assessment capabilities The monitoring and assessment programs used to guide waterfowl management in North America are among the best such programs in the worl,0.98
REL-52894501461867fd11ea,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0012,"Canada Broadening the Scope of Partnerships The Vision Plan partners collaborate with other conservation efforts, particularly migratory bird initiatives, and reach out to other sectors and communities to forge broader allianc",0.98
REL-474ec4ae6c98084c4cb6,DOC003,document_mentions_location,Canada,DOC003,DOC003-C0013,Canada considered.,0.98
